City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
374,broome,42.2506,-75.833,-0.64,84,100,4.12,US,1674531292
375,pisco,-13.7,-76.2167,22.03,78,0,6.17,PE,1674531293
376,jussara,-23.6214,-52.4694,24.98,80,50,0.44,BR,1674531294
377,oksfjord,70.2396,22.3479,2.1,84,98,17.74,NO,1674531295
378,kamenka,51.3223,42.7678,-8.92,81,81,2.78,RU,1674531295
379,cayenne,4.9333,-52.3333,25.02,83,0,1.54,GF,1674531296
380,port augusta,-32.5,137.7667,31.41,31,0,8.24,AU,1674531298
381,ribeira grande,38.5167,-28.7,16.54,74,20,6.26,PT,1674531298
382,lebanon,36.2081,-86.2911,6.03,92,20,0.0,US,1674531238
383,rocha,-34.4833,-54.3333,14.66,82,0,1.47,UY,1674531010
384,chuchkovo,54.2693,41.4465,-9.35,90,7,2.75,RU,1674531300
385,dwarka,22.2394,68.9678,18.81,44,0,7.39,IN,1674531301
386,novikovo,51.1537,37.8879,-5.74,81,79,2.49,RU,1674531304
387,nyimba,-14.5566,30.8149,18.65,98,100,1.39,ZM,1674531305
388,nizwa,22.9333,57.5333,14.85,74,86,0.41,OM,1674531307
389,koslan,63.4564,48.8989,-11.71,95,98,3.8,RU,1674531201
390,marawi,7.9986,124.2928,23.66,83,100,2.17,PH,1674531309
391,ushtobe,45.2514,77.9838,-12.79,81,100,2.59,KZ,1674531310
392,great falls,47.5002,-111.3008,-1.34,59,0,8.75,US,1674531311
393,indiaroba,-11.5192,-37.5117,23.95,90,15,1.81,BR,1674531312
394,maceio,-9.6658,-35.7353,24.69,94,20,1.54,BR,1674531313
395,meulaboh,4.1363,96.1285,26.23,82,93,2.78,ID,1674531030
396,batagay,67.6333,134.6333,-40.01,97,100,1.01,RU,1674531316
397,bursa,40.1667,29.0833,2.02,87,57,1.11,TR,1674531158
398,goderich,43.7501,-81.7165,0.51,80,100,9.26,CA,1674531318
399,rochelle,46.25,-1.0,2.51,80,100,6.69,FR,1674531320
400,egvekinot,66.3167,-179.1667,-26.66,82,11,5.55,RU,1674531321
401,la palma,33.8464,-118.0467,15.03,61,0,0.0,US,1674531207
402,charters towers,-20.1,146.2667,32.94,38,62,5.17,AU,1674531322
403,viedma,-40.8135,-62.9967,26.57,37,5,8.31,AR,1674531036
404,itaituba,-4.2761,-55.9836,22.08,99,34,0.5,BR,1674531165
405,belawan,3.7755,98.6832,26.16,87,100,0.76,ID,1674531325
406,esmeraldas,-19.7625,-44.3139,21.17,98,100,2.25,BR,1674531075
407,tomobe,36.35,140.3,8.73,47,100,2.67,JP,1674531326
408,rio claro,-22.4114,-47.5614,19.93,95,98,1.27,BR,1674531327
409,belaya gora,68.5333,146.4167,-32.61,99,100,0.84,RU,1674531329
410,vanimo,-2.6741,141.3028,24.64,93,100,1.94,PG,1674531330
411,sibolga,1.7427,98.7792,25.8,80,100,1.46,ID,1674531331
412,filadelfia,39.9523,-75.1638,4.01,68,100,6.17,US,1674531107
413,thinadhoo,0.5333,72.9333,27.08,75,96,5.54,MV,1674531333
414,takaka,-40.85,172.8,19.42,65,27,2.47,NZ,1674531334
415,starychi,49.98,23.5585,-0.65,90,27,3.03,UA,1674531335
416,kavaratti,10.5669,72.642,26.5,74,62,7.51,IN,1674531336
417,havelock,34.8791,-76.9013,8.99,64,3,2.24,US,1674531337
418,paamiut,61.994,-49.6678,-2.67,81,100,7.48,GL,1674531337
419,poddorye,57.4695,31.1156,-7.65,95,84,2.86,RU,1674531338
420,aksu,41.1231,80.2644,-13.24,77,19,1.34,CN,1674531339
421,alistrati,41.0667,23.95,8.14,89,96,2.02,GR,1674531340
422,alice springs,-23.7,133.8833,35.75,14,72,2.06,AU,1674531341
423,nishihara,26.1842,127.7558,14.6,80,100,18.01,JP,1674531342
424,north bend,43.4065,-124.2243,6.07,94,0,2.06,US,1674531342
425,barra dos coqueiros,-10.9089,-37.0386,27.01,83,40,3.6,BR,1674531343
426,manbij,36.5281,37.9549,6.64,63,0,1.66,SY,1674531344
427,dingle,10.9995,122.6711,27.71,76,94,7.49,PH,1674531345
428,cotonou,6.3654,2.4183,26.48,85,44,3.67,BJ,1674531345
429,zhangjiakou,40.81,114.8794,-15.66,25,0,4.78,CN,1674531346
430,inhambane,-23.865,35.3833,25.72,77,92,4.35,MZ,1674531347
431,puri,19.8,85.85,23.29,59,13,0.7,IN,1674531348
432,chake chake,-5.2459,39.7666,25.6,83,100,2.81,TZ,1674531348
433,tabora,-5.0167,32.8,17.65,94,100,1.25,TZ,1674531349
434,pangai,-19.8,-174.35,30.06,62,40,2.06,TO,1674531350
435,gimli,50.6336,-96.9907,-13.99,78,88,2.57,CA,1674531351
436,cavalcante,-13.7975,-47.4583,20.09,93,100,0.53,BR,1674531351
437,grand gaube,-20.0064,57.6608,24.1,83,100,0.17,MU,1674531352
438,northam,51.0333,-4.2167,1.52,69,15,2.39,GB,1674531353
439,kothen,51.75,11.9667,1.79,95,19,2.5,DE,1674531354
440,makokou,0.5738,12.8642,20.93,91,79,1.21,GA,1674531355
441,cobija,-11.0267,-68.7692,23.04,91,18,1.29,BO,1674531355
442,whitefish,48.4111,-114.3376,-9.71,97,99,0.59,US,1674531356
443,lebork,54.5392,17.7501,0.51,76,9,1.13,PL,1674531357
444,kruisfontein,-34.0033,24.7314,19.5,84,98,6.94,ZA,1674531358
445,caravelas,-17.7125,-39.2481,25.64,85,100,4.7,BR,1674531358
446,tessalit,20.1986,1.0114,18.22,15,0,3.45,ML,1674531359
447,suntar,62.1444,117.6319,-28.44,90,100,3.01,RU,1674531360
448,lekoni,-1.5843,14.2591,22.63,84,100,2.84,GA,1674531360
449,devrek,41.2192,31.9558,9.16,72,100,0.96,TR,1674531361
450,uni,57.7535,51.4923,-22.45,100,100,1.73,RU,1674531362
451,montemor-o-novo,38.6481,-8.2145,1.84,75,0,4.06,PT,1674531363
452,erzincan,39.75,39.5,-9.39,92,0,0.0,TR,1674531365
453,ascension,30.2169,-90.9001,8.0,86,0,0.0,US,1674531366
454,acapulco,16.8634,-99.8901,25.9,73,0,2.57,MX,1674531280
455,omsukchan,62.5333,155.8,-27.73,96,100,2.53,RU,1674531367
456,helong,42.5397,128.9972,-21.68,64,54,4.43,CN,1674531369
457,ati,13.2154,18.3353,21.35,14,100,4.49,TD,1674531370
458,verkhovazhye,60.7472,42.0465,-5.94,95,88,3.26,RU,1674531372
459,camana,-16.6228,-72.7111,23.13,82,98,2.9,PE,1674531373
460,shubarkuduk,49.1447,56.4872,-16.0,91,80,2.26,KZ,1674531374
461,marsh harbour,26.5412,-77.0636,21.88,81,71,8.91,BS,1674531343
462,hualmay,-11.0964,-77.6139,21.48,79,100,3.74,PE,1674531378
463,sao felix do xingu,-6.6447,-51.995,21.55,98,79,0.5,BR,1674531379
464,vestmanna,62.1564,-7.1664,7.51,100,100,4.12,FO,1674531380
465,saint-pierre,-21.3393,55.4781,23.84,88,0,2.57,RE,1674531381
466,kijang,35.2442,129.2139,-5.15,42,2,11.53,KR,1674531382
467,lokosovo,61.1333,74.8167,-19.37,99,99,1.31,RU,1674531383
468,gua musang,4.8823,101.9644,28.82,63,100,1.59,MY,1674531384
469,lomza,53.1781,22.0593,0.25,89,100,1.48,PL,1674531386
470,san ramon de la nueva oran,-23.1322,-64.326,23.01,84,82,0.81,AR,1674531386
471,pennagaram,12.1333,77.9,22.66,67,43,2.14,IN,1674531388
472,luganville,-15.5333,167.1667,29.3,72,98,3.37,VU,1674531389
